"Name","Display","Dlt","Std"
"Afghanistan Standard Time","(GMT+04:30) 카불","아프가니스탄 일광 절약 시간제","아프가니스탄 표준시"
"Alaskan Standard Time","(GMT-09:00) 알래스카","알래스카 일광 절약 시간제","알래스카 표준시"
"Arab Standard Time","(GMT+03:00) 쿠웨이트, 리야드","아랍 일광 절약 시간제","아랍 표준시"
"Arabian Standard Time","(GMT+04:00) 아부다비, 무스카트","아랍 일광 절약 시간제","아랍 표준시"
"Arabic Standard Time","(GMT+03:00) 바그다드","아랍 일광 절약 시간제","아랍 표준시"
"Argentina Standard Time","(GMT-03:00) 부에노스아이레스","아르헨티나 일광 절약 시간","아르헨티나 표준시"
"Armenian Standard Time","(GMT+04:00) 예레반","아르메니아 일광 절약 시간제","아르메니아 표준시"
"Atlantic Standard Time","(GMT-04:00) 대서양 표준시 (캐나다)","대서양 일광 절약 시간제","대서양 표준시"
"AUS Central Standard Time","(GMT+09:30) 다윈","AUS 중부 일광 절약 시간제","AUS 중부 표준시"
"AUS Eastern Standard Time","(GMT+10:00) 캔버라, 멜버른, 시드니","AUS 동부 일광 절약 시간제","AUS 동부 표준시"
"Azerbaijan Standard Time","(GMT+04:00) 바쿠","아제르바이잔 일광 절약 시간","아제르바이잔 표준시"
"Azores Standard Time","(GMT-01:00) 아조레스","아조레스 일광 절약 시간제","아조레스 표준시"
"Bahia Standard Time","(GMT-03:00) 살바도르","바이아 일광 절약 시간","바이아 표준시"
"Bangladesh Standard Time","(GMT+06:00) 다카","방글라데시 일광 절약 시간","방글라데시 표준시"
"Canada Central Standard Time","(GMT-06:00) 서스캐처원","캐나다 중부 일광 절약 시간제","캐나다 중부 표준시"
"Cape Verde Standard Time","(GMT-01:00) 까뽀베르데 군도","까뽀베르데 일광 절약 시간제","까뽀베르데 표준시"
"Caucasus Standard Time","(GMT+04:00) 코코서스 표준시","코코서스 일광 절약 시간제","코코서스 표준시"
"Cen. Australia Standard Time","(GMT+09:30) 아델라이드","중부 오스트레일리아 일광 절약 시간제","중부 오스트레일리아 표준시"
"Central America Standard Time","(GMT-06:00) 중앙 아메리카","중앙 아메리카 일광 절약 시간제","중앙 아메리카 표준시"
"Central Asia Standard Time","(GMT+06:00) 아스타나","중앙 아시아 일광 절약 시간제","중앙 아시아 표준시"
"Central Brazilian Standard Time","(GMT-04:00) 쿠이아바","브라질 중부 일광 절약 시간","브라질 중부 표준시"
